Song	Artist	Lyrics
Shine	Casey Lee Williams	"Baby, it's time to make up your mind\I think that tonight is when our stars align\Honey, it's time to leave the doubt behind\Take my hand cause you and I are gonna shine\I was cold in the dark\It was empty in my life;\From the outside it looked so bright\But nothing felt right... to me\Like a sky with no sun\Like a night that has no day\My heart was eclipsed by the dark\Then something changed\I saw a little ray of light come through\The tiniest of sparks came into view\And then\You made me hope again\I've been watching you, helping you\Wishing that you'd see\That the girl you've been waiting so long for could be me\Now - I've never been in love\But I think this is it;\It might seem like a school girl crush\But I have to admit\I wanna take a chance and make you see\I think that you're the one who'll rescue me\This time\You're finally gonna see you should be mine\But baby, it's time to make up your mind\I think that tonight is when our stars align\Honey, it's time to leave the doubt behind\Take my hand cause you and I are gonna shine\I won't need any dreams\It's all there if you're by my side\Every moment's enough\And you take me to paradise\When I needed a hero you knew it\And you were there\And I'm scared but I'll open my heart up\I'm ready to dare\I know I've never felt like this before\I never really knew what love was for;\I dreamed\But never did believe\But baby, it's time to make up your mind\I think that tonight is when our stars align\Honey, it's now we leave the doubt behind\Take my hand cause you and I are gonna\Light the sky until it's dawn and\Baby you and I are gonna shine"
Caffeine (feat. Lamar Hall)	Casey Lee Williams	"Casey Lee Williams","Listen up, strap in, notify your next of kin\You're about to take a ride a little on the blazing side\Guzzle down your Red Bull, you're gonna need a bucket full\You're watching me accelerate, tear up on the interstate\A certified monster, I'm an absolute trip\Like Otis Redding, Hard to Handle, so you better get a grip\Super fast, super fly, bonafide wise guy\Call the morgue and say goodbye\Write your will, it's time to die\[Chorus: Casey Lee Williams + Jeff]\Caffeine\I'm Caffeine (Caffeine)\Caffeine\I'm Caffeine (Caffeine)\I'm a bad dream\I'm a rad scene\I'm a tad mean\But I'm not afraid to take you out (afraid to take you out)\Afraid to take you out (afraid to take you out)\Afraid to take you out (afraid to take you out)\Afraid to take you out\[Verse 2: Casey]\I'm a cheetah on the plains, I'm a highway star\The supersonic princess in a million dollar car\Blood on fire pumping through my veins\Weaving in and out while I'm bolting through the lanes\I'm hyperdrive, overdrive, hit the gas at fifty-five\Break neck, trainwreck, in my presence genuflect\Track-roundin', speed-a-soundin', electrifyin', pulse-poundin'\Heart-pumpin', brain-thumpin', watch me get the party jumpin'\[Chorus: Casey + Jeff]\Caffeine\I'm Caffeine (Caffeine)\Caffeine\I'm Caffeine (Caffeine)\I'm a bad dream\I'm a rad scene\I'm a tad mean\But I'm not afraid to take you out (afraid to take you out)\Afraid to take you out (afraid to take you out)\Afraid to take you out (afraid to take you out)\Afraid to take you out\[Bridge: Lamar Hall]\Yo, listen up, I hope you like it hot\Grab yourself a mug 'cuz I made a fresh pot\Come and get a dose of my kickass java\Fuelin' your addiction with this thick black lava\We can do up an espresso, or the cappucino way\Sure to get your fix, venti or grande\Sugar, Splenda, Equal, maybe Sweet'N Low\Everybody's happy when they hanging with Joe\Let's go\[Chorus: Casey + Jeff]\Caffeine\I'm Caffeine (Caffeine)\I'm Caffeine\Caffeine (Caffeine)\I'm a bad dream\I'm a rad scene\I'm a tad mean\But I'm not afraid to take you out (afraid to take you out)\Afraid to take you out (afraid to take you out)\Afraid to take you out (afraid to take you out)\Afraid to take you out"
Time to Say Goodbye	Casey Lee Williams	"There's a point where it tips, there's a point where it breaks\There's a point where it bends and a point we just can’t take\Anymore\There's a line that we’ll cross and there’s no return;\There's a time and a place, no bridges left to burn anymore\We can’t just wait with lives at stake\Until they think we’re ready\Our enemies are gathering\The storm is growing deadly\Now it's time to say goodbye\To the things we loved and the innocence of youth\How the time seemed to fly\From our carefree lives and the solitude and peace we always knew\There's a day when we’ll fight and we’re not gonna fall\There's a day when we’ll stand\And a day when we won’t crawl anymore\There’s a moment in time and there’s no going back\When we’re pushed too hard and we won’t hold our attack\Anymore\We can’t just cling to childish things\As evil just grows closer\Humanity’s in jeopardy\This fight is far from over\Now it's time to say goodbye\To the things we loved and the innocence of youth\With a doubt in our minds\Why we chose this life and at times we can’t help wondering...\Were we born to fight and die?\Sacrificed for one huge lie?\Are we heroes keeping peace?\Or are we weapons\Pointed at the enemy\So someone else can claim a victory?\Now it's time to say goodbye\To the things we loved and the innocence of youth\How the time seemed to fly\From our carefree lives and the solitude and peace we always knew"
Unrequited Love	Capsule	"Even though I like you\Even though I’ll never reach you no matter how much I chase you\Even though it hasn’t gone away, still wanna forget\Even though I don’t want to be defeated by love\Even though the wind won’t stop\Even though you won’t\grab my shaking hands\so I’m not defeated by the cold\Yeah… Unrequited Love\Oh yeah… ??????\Oh yeah… Unrequited Love"
The Heretic	The Sound of Animals Fighting	"Inevitably\It's starting to bleed\And couldn't be stopped, that's justice\Incredible luck, to lift and be struck\What curious things..\A moment to think, before we will sing\The beauties alined, so sweetly\And don't be afraid, don't be afraid\Don't be afraid...\Does this look like that?\(My bumpkin boy)\How cruel you get\I've started again\(My bumpkin boy)\To miss your hands\What carnage you've left\(My bumpkin boy)\And you were dead\Remember your flesh\(My bumpkin boy)\To see us break\Our souls are unrest\What kind of pride is this?\Dry your, dry your eyes\The salt is warmed\If burning the flesh means finding the one\Does this look like that?\(My bumpkin boy)\How cruel you get\I've started again\(My bumpkin boy)\To miss your hands\What carnage you've left\(My bumpkin boy)\And you were dead\Remember your flesh\(My bumpkin boy)\To see us break\(Flesh is heretic\My body is a witch\I am burning it)\My bumpkin boy\How cruel you get\I've started again\My bumpkin boy\To miss your hand..."
Between The End And Where We Lie	Thrice	"Is this everything, I've dreamed of so much more, between the end and where we lie\Here all hopes and dreams are scavenged from the floor and fed into machines that feed on vacant eyes\All of my dreams, always find me far beyond these fake fluorescent skies\I know there must be something more, if I could only find the door, then I could free myself and see the world outside\Where Daylight breaks on you and shines into the grey that sleeps beneath your skull\Daylight breaks on you and burns away the grey that suffocates your soul\For now I hold a key, and though I may be lost, I know that I will find my way\I search endlessly but every time I've thought that I was near, the smoke and mirrors lead me astray\See the pit boss, steal each tick tock, time it seems will suffer at our hands\I look for exits in the haze, the dense electric twilit maze, I've heard that there is one that leads to sunlit lands where\Daylight, they tell me that it's just a myth\Daylight, they tell me that it can't exist\They try to betray me with a kiss\They might never know just what they've missed as\Daylight pours fire into my gray eyes\Pour grace into my gray life\Breaks in and lights the way\I can't live without the day"
Ode To The Sun	dredg	"It's gone from light to gray\But I'll move those clouds away\Letting the sun shine through\In this ode to you\Let the demons have their place\If so it's angels you'll create\And disguised within the dark\Light will wait\My heart\I owe you my soul\Will you please accept\Please accept this honor\This is all for you\Transcend\We flip towards the sun\Wheels skidding on the road\A flowing sea of red\The whole city groans\My heart\I owe you my soul\Will you please accept\Please accept this honor\This is all for you\Transcend\Will you please accept\Please accept it's over\This is all for you\Transcend\Fiasco\Rubberneck\Passing motorists\A mangled tuna-can-car rests\Repair this tattered skin\Hold it in your hand\You've already glistened through the window\You've already set us all\Free\Free\Please accept\Please accept this honor\This is all for you\Transcend\Will you please accept\Please accept it's over\This is all for you\Transcend\Fiasco"
No Transitory	Alexisonfire	"I'm in a constant state\Of getting cut\So why don't I\Feel anything?\\This is a violation\\Maybe I forgot\What it was like\Before it entered me\\So this is what they call\Another endless night\So tired of believing\If this is wrong or right\I think this cause is lost\I wish that I could sleep\I feel like some kind of shadow\Another slave to the week\Imagine if we lived\Under the weather\We would never be found\Never discovered\If everything goes wrong\If it's one more endless night\You know there always tomorrow\And tomorrow, and tomorrow, and tomorrow...\You know there's always tomorrow\\You know, you know\\Tomorrow...\\And this knife\This knife\This is my most\This is my most important appendage\This is my most\This is my most important appendage\\Tomorrow\So now that your whole world\Has gone up into flames\This night is still neverending\Do you think you're still safe?\Seems everything went wrong\We were discovered\But this time there's no tomorrow\And tomorrow, and tomorrow, and tomorrow...\Tomorrow\Tomorrow\\And this knife\This knife"
Welcome Home	Coheed and Cambria	"You could have been all I wanted\But you weren't honest\Now get in the ground\You choked off the surest of favors\But if you really loved me\You would've endured my world\Well if you're just as I presumed\A whore in sheep's clothing\Fucking up all I do\And if so here we stop\Then never again\Will you see this in your life\\Hang on to the glory at my right hand\Here laid to rest is our love ever longed\With truth on the shores of compassion\You seem to take premise to all of these songs\\You stormed off to scar the armada\Like Jesus played martyr\I'll drill through your hands\The stone for the curse you have blamed me\With love and devotion, I'll die as you sleep\But if you could just write me out\To neverless wonder, happy will I become\Be true that this is no option\So with sin, I condemn you\Demon play, demon out\\Hang on to the glory at my right hand\Here laid to rest is our love ever longed\With truth on the shores of compassion\You seem to take premise to all of these songs\\One last kiss for you\One more wish to you\Please make up your mind, girl\I'd do anything for you\One last kiss for you\One more wish to you\Please make up your mind, girl\Before I hope you die"
This Could Be Anywhere In The World	Alexisonfire	"This town has its claws buried in my neck\This town, it takes lives without mercy, without hate\(The streets are in distress\The sun suffocates behind darkened skies)\The grass is growing on top of my feet\I'm sinking, won't be long before I'm too deep to run\(The lineup seems endless\Underneath the salvation signs)\We are the dead ones, we are the lost cause\We are the bend before the break, our steps seal our fate\\Because this city, this city is haunted\By ghosts\From broken homes\Because this city, this city is haunted\And there's no hope\Left for these souls\\Every step I take, I leave a small piece\Of myself behind - soon there will be nothing left\(The cracks in the pavement\Match the cracks in their weathered skin)\The sky's a brick wall, the ground's a juggernaut\Each day they get a bit closer; between them I am caught\(I stare in amazement\I can't believe this is where I live)\Every breath I take, I feel my lungs seal\This breeze feels more like shards of glass\I'm more scars than skin\\Because this city, this city is haunted\By ghosts\From broken homes\Because this city, this city is haunted\There's no hope\Left for these souls\\Our steps seal fate\Our steps seal fate\This is our celebration - come join the lost souls\This is our celebration - come join the lost souls\(This city, this city is haunted)\Ohhh! Walk with us, ohhh!\Down!\Walk with us!\\City, this city is haunted\By ghosts\From broken homes\Because this city, this city is haunted\There's no hope\Left for these souls"
DiE	Bis	"You tell me life is meant to be wasted away… but you must be joking, right?\More than any taste I’ve sampled thus far,\This spice will ruin everything I have after it.\Somebody, please tell me about the other side…\Does it hurt? Or worse? Are you suffering?\Within a dark protective cage, unable to grasp a thing,\I’m surrounded by eyes with no form; help me!\I’ll ask you one more time: what going on out there?\You tell me life is meant to be wasted away… but you must be joking, right?\The light I grasped was too bright,\And my feet, rubbed raw by my shoes, can no longer stand.\Yes, no matter where I look,\The stars are plentiful;\There’s a bewilderment I can’t escape, but I just keep on walking.\Within a dark protective cage, unable to grasp a thing,\I’m surrounded by eyes with no form; help me!\I’ll ask you one more time: what going on out there?\You tell me life is meant to be wasted away… but you must be joking, right?"
青春の瞬き	椎名林檎	"To be able to not doubt that beauty and justice exist equally is due to youth\If we lean on each other like children forgetting our exhaustion\We'll become as we are more than being all alone\One time stomp I won't let a single thing change\Exactly now we finally arrived at the place we had our eye on\Striving for novelty and certain equally\We got just a little life in advance\If we lean on each others weight as unpleasant\For some reason always when I notice it theres no longer even a trace\It makes me want it so much it disappears from beyond my stretching hands"
All My Stars Aligned	St. Vincent	"I read the signs\I got all my stars aligned\My amulets, my charms\I set all my false alarms\So I'll be someone who won't be forgotten\I've got a question and you've got the answer\\I do a dance to make the rain come\Smile to keep the sky from falling down, down, down, down\Collect the love that I've been given\Build a nest for us to sleep in here\You know it's real\\I check my palms\The cracks in the sidewalk\My visions and my dreams\I cross all my fingers\That you'll be someone that won't be forgotten\What was your question?\I've got the answer\\I do a dance to make the rain come\Smile to keep the sky from falling down, down, down, down\Collect the love that I've been given\Build a nest for us to sleep in here\You know it's real\\There are no signs\There are no stars aligned\No amulets, not a charm\To bring you back to my arms\There's just this human heart that's built with this human flaw\What was your question?\Love is the answer\\I do a dance to make the rain come\Smile to keep the sky from falling down, down, down, down\Collect the love that I've been given\Build a nest for us to sleep in here\You know it's real"
Only Skin	Joanna Newsom	"And there was a booming above you\That night black airplanes flew over the sea\And they were lowing and shifting like\Beached whales\Shelled snails\As you strained and you squinted to see\The retreat of their hairless and blind cavalry\You froze in your sand shoal\Prayed for your poor soul;\Sky seemed a bread roll, soaking in a milk-bowl\And when the bread broke —\Fell in bricks of wet smoke —\My sleeping heart woke, and my waking heart spoke\Then there was a silence you took to mean something:\Mean, Run, sing\For alive you will evermore be\And the plague of the greasy black engines a-skulking\Has gone east\While you’re left to explain them to me —\Released\From their hairless and blind cavalry\With your hands in your pockets\Stubbily running\To where I’m unfresh\Undressed and yawning —\Well, what is this craziness?\This crazy talking?\You caught some small death\When you were sleepwalking\It was a dark dream, darlin;\It’s over\The firebreather is beneath the clover\Beneath his breathing there is cold clay, forever:\A toothless hound-dog choking on a feather\But I took my fishing pole (fearing your fever)\Down to the swimming hole, where there grows a bitter herb\That blooms but one day a year, by the riverside —\I’d bring it here:\Apply it gently\To the love you’ve lent me\While the river was twisting and braiding, the bait bobbed\And the string sobbed\As it cut through the hustling breeze\And I watched how the water was kneading so neatly\Gone treacly\Nearly slowed to a stop in this heat;\Frenzy coiling flush along the muscles beneath\Press on me\We are restless things\Webs of seaweed are swaddling\You call upon the dusk of the\Musk of a squid:\Shot full of ink, until you sink into your crib\Rowing along, among the reeds, among the rushes\I heard your song, before my heart had time to hush it!\Smell of a stonefruit being cut and being opened\Smell of a low and of a lazy cinder smoking\And when the fire moves away\Fire moves away, son\Why would you say\I was the last one?\Scrape your knee: it is only skin\Makes the sound of violins\When I cut your hair, and leave the birds all the trimmings\I am the happiest woman among all women\And the shallow water stretches as far as I can see\Knee deep, trudging along —\The seagull weeps ‘so long’ —\I’m humming a threshing song —\Until the night is over, hold on\Hold on;\Hold your horses back from the fickle dawn\I have got some business out at the edge of town\Candy weighing both of my pockets down\Till I can hardly stay afloat, from the weight of them\(and knowing how the commonfolk condemn\What it is I do, to you, to keep you warm:\Being a woman. Being a woman.)\But always up the mountainside you’re clambering\Groping blindly, hungry for anything;\Picking through your pocket linings —\Well, what is this?\Scrap of sassafras, eh Sisyphus?\I see the blossoms broke and wet after the rain\Little sister, he will be back again\I have washed a thousand spiders down the drain\Spiders’ ghosts hang, soaked and dangling\Silently from all the blooming cherry trees\In tiny nooses, safe from everyone —\Nothing but a nuisance; gone now, dead and done —\Be a woman. Be a woman\Though we felt the spray of the waves\We decided to stay, 'till the tide rose too far\We weren’t afraid, cause we know what you are;\And you know that we know what you are\Awful atoll —\O, incalculable indiscreetness and sorrow!\Bawl bellow:\Sibyl sea-cow, all done up in a bow\Toddle and roll;\Teethe an impalpable bit of leather\While yarrow, heather and hollyhock\Awkwardly molt along the shore\Are you mine?\My heart?\Mine anymore?\Stay with me for awhile\That’s an awfully real gun\I know life will lay you down\As the lightning has lately done\Failing this, failing this\Follow me, my sweetest friend\To see what you anointed\In pointing your gun there\Lay it down! Nice and slow!\There is nowhere to go\Save up;\Up where the light, undiluted, is\Weaving, in a drunk dream\At the sight of my baby, out back:\Back on the patio\Watching the bats bring night in\— while, elsewhere\Estuaries of wax-white\Wend, endlessly, towards seashores unmapped\*\Last week, our picture window\Produced a half-word\Heavy and hollow\Hit by a brown bird\We stood and watched her gape like a rattlesnake\And pant and labor over every intake\I said a sort of prayer for some rare grace\Then thought I ought to take her to a higher place\Said, “dog nor vulture nor cat shall toy with you\And though you die, bird, you will have a fine view.”\Then in my hot hand, she slumped her sick weight\We tramped through the poison oak, heartbroke and inchoate\The dogs were snapping, so you cuffed their collars\While I climbed the tree-house. Then how I hollered!\Cause she’d lain, as still as a stone, in my palm, for a lifetime or two;\Then saw the treetops, cocked her head, and up and flew\(While back in the world that moves, often, according to\The hoarding of these clues\Dogs still run roughly around\Little tufts of finch-down\The cities we passed were a flickering wasteland,\But his hand, in my hand, made them hale and harmless\While down in the lowlands, the crops are all coming;\We have everything\Life is thundering blissful towards death\In a stampede\Of his fumbling green gentleness\You stopped by;\I was all alive\In my doorway, we shucked and jived\And when you wept, I was gone;\See, I got gone when I got wise\But I can’t with certainty say we survived\Then down and down\And down and down\And down and deeper\Stoke, without sound\The blameless flames\You endless sleeper\Through fire below\And fire above\And fire within\Sleep through the things that couldn’t have been\If you hadn’t have been\And when the fire moves away\Fire moves away, son\Why would you say\I was the last one?\All my bones, they are gone, gone, gone\Take my bones, I don’t need none\Cold, cold cupboard, lord, nothing to chew on!\Suck all day on a cherry stone\Dig a little hole not three inches round —\Spit your pit in a hole in the ground\Weep upon the spot for the starving of me!\Till up grows a fine young cherry tree\When the bough breaks, what’ll you make for me?\A little willow cabin to rest on your knee\What’ll I do with a trinket such as this?\Think of your woman, who’s gone to the west\But I’m starving and freezing in my measly old bed!\Then I’ll crawl across the salt flats, to stroke your sweet head\Come across the desert with no shoes on!\I love you truly\Or I love no-one\Fire moves away. Fire moves away, son\Why would you say that I was the last one, last one?\Clear the room! There’s a fire, a fire, a fire\Get going\And I’m going to be right behind you\And if the love of a woman or two, dear\Couldn't move you to such heights\Then all I can do\Is do, my darling, right by you"
Ghosts	Ibeyi	"Welcome to my earth\It's a crying shame\We have built a foolish world\Busy fighting, cruelly lying and denying\\My ghosts are not gone\They dance in the shade\And kiss the black core of my heart\Making words, making sounds, making songs\\Now you can feel my heart spinning\You turn my whole life around\I want to write a new beginning\Let go of the ghosts\Let dreams and hopes fly\And give our love another try\Should we just let it be?\\Make love to me\My ghosts are not gone\They kiss the black core of my heart\Making words making sounds making songs\\Now you can feel my heart spinning\You turn my whole life around\I want to write a new beginning\Let go of the ghosts\Let dreams and hopes fly\And give our love another try\Should we just let it be?\\We ain't nothing without love, without love\We ain't nothing without love, without love\\Mai mai mai soronso ae\Aggayu soronso\Mai mai mai soronso ae\Aggayu soronso\Mai mai mai soronso ae\Aggayu soronso\Mai mai mai soronso ae\Mai mai mai soronso ae\Mai mai mai soronso ae"
Gold (feat. Casey Lee Williams)	Jeff Williams	"Jeff Williams","Dream of anything;\I'll make it all come true\Everything you need\Is all I'll have for you\I'm forever\Always by your side\Whenever you need a friend\I'm never far behind\If the stars all fall\When there's no more light\And the moon should crumble\It will be alright\Don't you worry about the dark\I will light up the night with the love in my heart\I will burn like the sun\I will keep you safe and warm\Like the smell of a rose on a summer's day\I will be there to take all your fears away\With a touch of my hand\I will turn your life to gold\With a touch of my hand\I'll turn your life to gold\Let's have everything\Nothing we cannot do\Every heart just beaming\Every sky turns blue\I'm so happy\Just to have you here\Smiles bringing sunshine\And worries disappear\When the days turn dark\And we start to fall\I will pick you up and\We will fix it all\Don't you worry about the dark\I will light up the night with the love in my heart\I will burn like the sun\I will keep you safe and warm\Like the smell of a rose on a summer's day\I will be there to take all your fears away\With a touch of my hand\I will turn your life to gold\Gold...\Don't worry, I've got you;\Nothing will ever harm you\I'm close by, I'll stay here;\Through all things, I will be near\Close your eyes\Don't you cry\Love's around you;\In time, you'll fly\Don't you worry about the dark\I will light up the night with the love in my heart\I will burn like the sun\I will keep you safe and warm\Like the smell of a rose on a summer's day\I will be there to take all your fears away\With a touch of my hand\I will turn your life to gold\With a touch of my hand\I'll turn your life to gold"
渦中の男	椎名林檎	"And when the evening comes\a young girl is crying some\I know you don’t think it so\wrong or impolite\To say it more than twice,\repeat it every night\I know it must to you\seem something I should know\It may or may not come\It hasn’t happened but\You talk and don’t let go\The world is moving slow\You say it more than twice,\repeat it every night\I know it must to you\seem something I should know\I don’t, don’t want to know\So so loud, so I\say, oh and oh,\that’s enough for me\If you would chase a fly\don’t look at some girl’s life\don’t swat beyond your eyes\Just turn and face your own\And you may find it flew\Into another room\So go and chase it down\And find yourself a home\They say to speak your mind\or else get passed in line\I think it must to you\seem something I should say\I won’t, won’t say a word\Everything is\none of my concern\Absolutely\none of my concern\Relative to you\I’m hearing clear\what is true\Trying in vain to say something\wastes a lifetime; it’s halfway to noise\Beautiful things must be something—\They are the things that never can lie\Here in my heart, the answer is clear\It’s always clear, and here I can fly\Beautiful things must be something—\They are the things that never can lie\I don’t, don’t want to know\None of my concern\So oh and oh-oh, silently"
Vanitas	DIR EN GREY	"Even the scar that's needed to survive grabs\Hold of the lightly-colored spring and stops\Staring into the night, wanting to escape as the voice trembles\Why does death come?\Hearing that word before somewhere\The same answer rains down mischievously\Goodbye to you\The eyes won't look back\To have loved passionately\Listening closely to hear the murmur\I was hiding the end in the dream unconquered\Hoping that this day will be a wonderful day\If you would just...\The ant lion searching for the light\The lost heart always looks to the future as the flowers of lycoris sway\Goodbye to you\The eyes won't look back\To have loved passionately\Listening closely to hear the murmur\I was hiding the end in the dream unconquered\Hoping that this day will be a wonderful day\I will again wipe the tears that will come running down tomorrow\Not stopping, for we will meet at the destination\For One More Day\Words won't teach you anymore, now that you are Alice\here?"
I Can Change	Brandon Flowers	"When your time runs out and you're looking for a place to land\I'll step from the shadow, into the palm of your hand\When you're out of luck, I'll be what you're looking for\Even if it's not who I am\When you're out of luck, I'll be what you're looking for\Even if it's not who I am\\I can change, I can change for you\I can change, I can change for you\\I can bend, I can break, I can shift, I can shake\Blaze a trail through the driving rain\Girl I can change for you, I can change for you\Woo ooh, Woo ooh\Woo ooh, Woo ooh\\When your time runs out, and you don't where to stand\I'll step from the shadow, I'm at your command\And when you're looking for change\I'll be what you're looking for\Even if it's not who I am\\I can change, I can change for you\I can change, I can change for you\\I can bend, I can break, I can shift, I can shake\Blaze a trail through the driving rain\Girl I can change for you\I can slip, I can slide, I can run, I can hide\Blaze a trail through the driving rain\Girl I can change for you\\I'll be what you're looking for\I'll be what you're looking for\\I can change, I can change for you\I can change, I can change for you\\Woo ooh, I can change, Woo ooh\Oh-wooh, I can change, oh-wooh\I can bend, I can break, I can shift, I can shake\Place the trail through the drive of rain\I can slip, I can slide, I can run, I can hide\Place the trail through the drive of rain\Girl I can change for you\I can change for you\I can change\I'll be what you're looking for\Oh-wooh, oh-wooh, oh-wooh"
DEATH	::M∆DE::IN::HEIGHTS::	"Feel it rush like a hush in the attic, bae\You could see me blush when I tell you all about it\In a moment hit the switch, then a moment in the dark\Then a moment so pervasive it was breaking us apart\The galaxy is spreading like a rumor in your jaw\Better keep your planet spinning better keep the motive tall\There’s time inside my tears making diamonds on the wall\Heavy forest summer night, I confess that I'm a lightweight\Cause fate is rolling up and hate is blowing up\If it’s a crime to bend the line then we should tear it up\And when the waters start to cross, I'll call you up\I genuinely love to hear your thoughts\Inherited these ways and they came with seven claws\Like the terror that remains every morning in the dark\And the tethers that you lace only tie you in a knot\Don’t fall for all the blame, don’t rely on the applause\Tripping for so long, I've been tripping for so long\Tripping for so long, I've been tripping for so long\Your burden was the weight of a feather\I was certain if I waited you’d remember\When the comet took me out into space\When you held your breath, looking at my face\Now I comprehend that death is not the end\And the world that we destroyed wasn't real enough to live in\But I’m alive, yes I'm alive\I can feel it running up and down my spine\ (x2)\Tripping for so long, I've been tripping for so long\Tripping for so long, I've been tripping for so long\Tripping for so long, I've been tripping for so long\Tripping for so long, I've been tripping for so long"
Dare I Care	Julian Casablancas + The Voidz	" Hit the knee – ow – heck, they’re ready\S.O.N.’s SAT, how magenta are you?\Daddy, I owe Doc Luke a Mercedes\Barely up and I’m looking for jobs.\Yup, they been at your house already\Who, me? Sad? I’m last to hear\Yeah, they been at your house already\Who me? Fuck, I’m last to hear.\What a real woman won’t mind\But don’t be weird with me\I won’t be weird with you\But I wanna be weird my way\It won’t be my way\American always our way\What can I say?\In the band I put the key, cause I did my time\What can I say?\Your memory’s no good, leave your clothes on\Our bodies crave a lot of things that end in loss\Don’t try and turn this into something else,\Too late to change your mind this time and hit eject\Now that I’m here\I been wasting half my life\Right here is where my friends they used to live\Hit the knee – ow – heck, they’re ready\S.O.N.’s SAT, how magenta are you?\Daddy, I owe Doc Luke a Mercedes\Barely up and I’m looking for jobs.\Who, me? Sad? I’m last to hear\Yeah, they been at your house already. Who the fuck?\I want my money back\That wasn’t fun.\The bricks and the gravel and the mud and the blood\Another wild teenager in search of success, welcome to the jewel of the modified west\Now that I’m here, o-o-oh\I’ve been wasting half my life\Right here is where my friends they used to live…\–\I don’t care anymore\I’d don’t dare anymore.\Now that I’m here, where my friends they used to live\I don’t care anymore, I’d dare anymore\That’s how they know, that’s how they know,\Calm down\That’s what they say, that’s how they know "
Trying Your Luck	The Strokes	"You said you couldn't stay\You've seen it all before, I know\And sold you on their way\Oh, honey, that's okay\\No harm, he's armed, setting off all your alarms\When I find out, I hope it's you who set this trap\\And store fronts rarely change\At least I'm on my own again\Instead of anywhere with you\Oh, tell me it's all the same\\And I've lost my page again\I know this is surreal but I'll try my luck with you\Oh, this life is on my side, oh, I am your one\Believe me this is a chance, oh, oh\\Let's see what is for sale\He's trying not to give his job a chance\Oh, it's never gonna be\It's sad, but I agree\The signals don't seem right\It lasts for just one night and then\I'm sorry that I said\That we were just good friends\\No harm, he's armed, setting off all your alarms\Entranced, I can't be here in time, I'll think about that\\And I've lost my page again\I know this is surreal but I'll try my luck with you\Oh, this life is on my side, well, I am your one\Believe me, oh, this is a chance, oh, oh"
流転の塔	DIR EN GREY	"The vagrant past projects reverberation\The apostle stares into the arrhythmia of reality\The never-ending sunlight is so blinding it's cruel\Holding closely the apple falling from the sensual synapses\Now, I look into your eyes\Holding closely the tears I shed from the sensual empty wish\Now, I shut-out the sound of the rain\Gods Of Rapture\Dear sky\Mind\It sinks to the root of the streaming flag\Tracing the dewfall of the Dead Sea with my finger,\The sternum screams agape\God Complex\Get this\Good Day\Am I The Magnificent Humanitarian\Who Shall Sound The Broken Bell?\Restructuring\A furious uplift\If everyone just learned to keep silent\We'd break open the summit and climb the ivy\In the land of accidental tokarev explosions\And the child of all creation\Aim for the day we turn into mere worms\That are as colorful as they are indecent\Is the kindness of messing up the arrangement called arrogance?\Don't want to forget the vagrant past\Death stares into the arrhythmia of reality\And the never-ending sunlight is so blinding it's cruel\The future screams and you are unable\To turn around and go back\Wake up\Joining hands with the flower that's lost its way\Don't want to forget the vagrant past\Death stares into the arrhythmia of reality\And the never-ending sunlight is so blinding it's cruel\The future screams and you too, are unable\To turn around and go back\Wake up"
I'm Feeling You	Capsule	"baby baby The kisses, they’re a joke\I’m searching for the feeling feeling, with my lips\Satisfied just by you touching me\Yeah, your heartbeat\baby baby That’s right, in the rain\feeling feeling You pretend to look my way\And nod with a look in your eye like you’re crying\Yeah, I feel it\I’m feeling you\I’m feeling you\baby I just wanna feel you\take me high, so I melt with you.\I’m feeling you\I’m feeling you\baby I just wanna feel you\take me high, so I melt with you.\I’m feeling you\baby baby The kisses, they’re a joke\I’m searching for the feeling feeling, with my lips\Satisfied just by you touching me\Yeah, your heartbeat\I’m feeling you\I’m feeling you\baby I just wanna feel you\take me high, so I melt with you.\I’m feeling you\I’m feeling you\baby I just wanna feel you\take me high, so I melt with you.\I’m feeling you\I’m feeling you\I’m feeling you"
Again (Cover)	CollaboDaisakusen	
